id,name,glottocode,contributors__ids,description,lineages__id,latitude,longitude,region,2nd_languages
dal,Dahalo,daha1245,,"Dahalo is an endangered Cushitic language spoken in costal Kenya by 400 native speakers (1992). In the orthography used by Ehret et al. 1989 (cf. pp. 5f.), ˈ (here represented as ’) marks [ejectives], ɦ = voiceless [sic!] laryngeal fricative; tones are marked x́ = high, x̂ = falling, x = low.",,-2.18,40.37,,
deu,German,stan1295,,"(Standard) German is a Germanic language used by about 90 million native speakers mainly in Germany, Austria and Switzerland. It is represented here in the standard orthography. Grammatical abbreviations: f 'feminine', m 'masculine', n 'neuter' (gender).",germanic,,,Western Europe,eng
diu,Manyo/Gciriku,diri1252,,,bantoid,-18.1,20.6,Southern Africa,eng;tsn
dsh,Daasanach,daas1238,,Daasanach (Dhaasanac and similar) is a Lowland East Cushitic language spoken by about 60 000 speakers in southern Ethiopia and northern Kenya.It is represented here in a linguistic transcription (IPA).,cushitic,4.9,36.1,Eastern Africa,eng;swh;orm;som
dsh,Daasanach,daas1238,,"Daasanach (Dasenech, Daasanech, Dathanaik, Dathanaic, Dathanik, Dhaasanac, Gheleba, Geleba, Geleb, Gelebinya, Gallab, Galuba, Gelab, Gelubba, Dama, Marille, Merile, Merille, Morille, Reshiat, Russia) is a Lowland East Cushitic language spoken in South Sudan, Ethiopia and Kenya by 60,000 native speakers (2007, 2009). In the transcription used by Tosco 2001 (cf. pp. 7, 16f.), ɓ ɗ ʄ ɠ = voiced implosives, d t = dental stops t̪ d̪, y w = approximants [j] [w], ð = voiced fricative, c j = palatal stops [c] [ɟ], š = palato-alveolar sibilant [ʃ], ʔ = glottal stop; x́ marks pitch accent.",,4.59,35.99,,
eng,English,stan1293,,"English is a Germanic language spoken by about 360 million native speakers mainly in the United Kingdom, the United States, Canada, Australia, Ireland and New Zealand.",germanic,,,Northern Europe,
ewo,Ewondo,ewon1239,,Ewondo is a Bantu language (A72).,bantoid,3.4,11.7,Middle Africa,eng;fra;fan;bas;tik
fan,Fang,fang1246,,"Fang is Bantu language (A75) spoken by about 1 million speakers in Gabon, Equatorial Guinea and southern Cameroon.",bantoid,1.7,11.6,Middle Africa,eng;fra;ewo
fwe,Fwe,fwee1238,,,bantoid,-17.9,24.5,Southern Africa,eng;tsn
gku,ǂUngkue†,vaal1235,,"ǂUngkue (similar: Vaal-Orange, Seroa) was a Tuu variety or language cluster in South Africa (and Lesotho; depending on its definition) and became extinct during the 20th century. It is represented here in a linguistic transcription (IPA).",tuu,-29.0,25.5,Southern Africa,eng;afr;sot;xam
gmv,Gamo,gamo1243,,"Gamo belongs to the Gamo-Gofa-Dawro dialect cluster, i.e., an Omotic language spoken by about 2 million speakers in southwestern Ethiopia.",omotic,6.2,37.3,Eastern Africa,eng;amh;orm
gmv,Gamo,gamo1243,,"Gamo is a Ta-Ne-Omotic language spoken in southwestern Ethiopia by 2.0 million native speakers including the closely related Dawro and Gofa (2007). Forms taken from Hayward/Chabo 2014 are cited in the absolutive case; ’ marks glottalised stops and affricates,  ̌ marks palatals (not marked in case of j), long consonants and vowels are doubled, x́ = high tone, x = low tone, x́x = high tone on long vowel, x́x̀ = falling tone on long vowel (cf. pp. 25-31).",,6.28,37.24,,
guz,Gusii,gusi1247,,"Gusii (Kisii, EkeGusii) is a Bantu language (JE42) spoken by more than 2 million speakers in western Kenya.",bantoid,-0.97,34.6,Eastern Africa,eng;swh;suk;hay
gwd-gol,Gawwada/Gollango,goll1242,,Gawwada is an Eastern Cushitic dialect cluster (Yaaku-Dullay branch) and spoken by about 70 000 speakers in  southern Ethiopia.,cushitic,5.38,37.27,Eastern Africa,eng;amh;orm;som
gwj,Gǀui,gwii1239,sl,Gǀui is a Khoe-Kwadi language spoken by about 1500 native speakers mainly in Botswana and belongs to the Gǁana language cluster. It is represented here in the orthography as proposed by Hirosi Nakagawa.,khoekwadi,-23.3,23.6,Southern Africa,eng;tsn;xkv
hay,Haya,haya1250,,Haya (Oluhaya) is a Bantu language (JE22) spoken by more than 1 million speakers in northwestern Tanzania.,bantoid,-1.7,31.5,Eastern Africa,eng;swh;guz;suk;kin
her,Herero,here1253,,Herero (Otjiherero) is a Bantu language spoken by about 250 000 native speakers mainly in Namibia and Botswana. It is represented here in the standard orthography.,bantoid,-21.7,18.1,Southern Africa,eng;afr;kua;naq
hio-g,Tshwa/Ganadi,tsoa1238,,"Tshwa (Kua-Tsua, Hietshwa(re)) is a Khoe-Kwadi  language spoken by about 2000 native speakers mainly in Botswana and Zimbabwe. It is represented here in a preliminary linguistic transcription (Fehn)[fehnnotes].",khoekwadi,-18.5,25.7,Southern Africa,eng;tsn;kck
hio-h,Tshwa/Hietshware,tsoa1238,,"Tshwa (Kua-Tsua, Hietshwa(re)) is a Khoe-Kwadi  language spoken by about 2000 native speakers mainly in Botswana and Zimbabwe. Tshwa/Hietshware is represented here according to Dornan (1917).",khoekwadi,-20.7,26.7,Southern Africa,eng;tsn;kck
hts,Hadza,hadz1240,,,isolated,-3.6,34.8,Eastern Africa,eng;swh
huc,ǂ'Amkoe,huaa1248,,"ǂ'Amkoe (ǂHõã, Eastern ǂHõã, ǂHoang) is a Kx'a language spoken by less than 100 native speakers in Botswana. It is represented here in a linguistic transcription (Berthold & Gerlach 2011, Nǃaqriaxe variety)[bertholdgerlach2011]. ",kxa,-23.8,24.7,Southern Africa,eng;tsn;xkv;gwj
ikx,Ik,ikkk1242,,"Ik is a Kuliak language spoken by about 8000 speakers in northeastern Uganda. The orthography used by Heine 1999 (pp. 13-19) distinguishes [+ATR] vowels i e a o u and [- ATR] vowels ɪ ɛ a ɔ ʊ; devoiced vowels are raised i e a o u; ɓ ɗ ʝ [sic!] ɠ = implosives, ƙ = ejective, c j = alveo-palatal affricates, ny = ɲ; tonemes are marked x́ = high tone, x = low tone.",kuliak,3.61,34.25,Eastern Africa,eng;lug;laj
irk,Iraqw,iraq1241,,,cushitic,-3.9,35.4,Eastern Africa,eng;swh
irk,Iraqw,iraqw1241,,"Iraqw is a South Cushitic language spoken in Tanzania by 460,000 native speakers (2001). In the official Iraqk orthography used by Mous et al. 2002 (cf. pp. 1f.), / = pharyngeal fricative with creaky voice [ʕ̰], ’ = glottal stop [ʔ], ch j = voiceless and voiced palatal affricate, sh = palatal sibilant, ny ng = palatal and velar nasal [ɲ] [ŋ], x hh = voiceless velar and pharyngeal fricative [x] and [ħ], sl = voiceless lateral fricative [ɬ], tl = voiceless ejective lateral affricate [tɬ’], q = voiceless [ejective] uvular stop or affricate[q’~qχ’], y = palatal glide [j]; the glottal stop is not written word-initially and word-inernally between vowels (of different quality), w marks labialisation of velar and uvular stops, long vowels are doubled, x́ = high tone.",,-4.20,35.29,,
kam,Kamba,kamb1297,,Kamba (Kikamba) is a Bantu language (E55) spoken by about 4 million speakers in south-central Kenya.,bantoid,-1.61,37.95,Eastern Africa,eng;swh;kik
kck,Kalanga,kala1384,,Kalanga (Ikalanga) is a Bantu language spoken by about 950 000 native speakers mainly in Zimbabwe and Botswana.,bantoid,-21.7,27.8,Southern Africa,eng;tsn;sna
kde,Makonde,mako1251,,,bantoid,-10.8,39.6,Eastern Africa,eng;por;swh
kel,Kela,kela1254,,Kela is a Bantu language (C75) spoken by probably more than 200 000 speakers in the central region of DR Congo.,bantoid,-1.39,24.01,Middle Africa,eng;fra;lin;swh
kik,Kikuyu,kiku1240,,,bantoid,-0.4,36.7,Eastern Africa,eng;swh
kin,Rwanda,kiny1244,,accent and vowel length are represented by ´and -,bantoid,-2.0,30.0,Eastern Africa,eng;swh
kmb,Kimbundu,kimb1241,,Kimbundu is a Bantu language (H21) spoken by about 4 million native speakers mainly in north-western Angola. It is represented here in the standard orthograhpy.,bantoid,-9,14.9,Middle Africa,eng;por;umb;kon
knw,ǃXun,huaa1248,,"ǃXun (Northwestern ǃXun, ǃKhung, ǃKung) is a Kx'a  language belonging to the Ju language cluster spoken by several thousand native speakers mainly in Namibia and Angola. It is written here as presented in König & Heine (2008). Grammatical abbreviations: n1 'noun class 1' (hȁ), n3 'noun class 3' (yīí), n4 'noun class 4' (kā), partially grouped as singular/plural, e.g. n1/3 'singular: noun class 1/plural: noun class 3' (cf. König & Heine 2008: 7)[konigheine2008].",kxa,-18.2,19.1,Southern Africa,eng;kua;afr;ktz
kon,Kongo,core1256,,Kongo (Kikongo) is a Bantu language (H16).,bantoid,-5.3,13.6,Middle Africa,eng;fra;por;lin;lua
kqz,ǃOra†,kora1292,,,khoekwadi,-29.0,20.1,Southern Africa,eng;afr;naq
ktz,Juǀ'hoan,juho1239,sl,"Juǀ'hoan (Juǀ'hoansi, Southeastern Ju) is a Kx'a  language belonging to the Ju language cluster spoken by about 30 000 native speakers mainly in Namibia and Botswana. It is represented here in the standard orthography (cf. Dickens 1994)[dickens1994]. Grammatical abbreviations: ha/sì 'gender 1' (singular ha, plural sìǃá or sì; human nouns),  ha/hi 'gender 2' (singular ha, plural hì), ha 'gender 3' (singular ha/plural ha), hi 'gender 4' (singular hì/plural hì), ka 'gender 5' (singular ká/plural ká) (cf. Dickens, 2005, A Concise Grammar of Juǀ'hoan: 31ff.).",kxa,-20.1,20.4,Southern Africa,eng;afr;her;knw
kua,Wambo,kuan1247,,"Wambo (Oshiwambo, Ovambo, including Kwanyama and Ndonga) is a Bantu  language (cluster) spoken by about 1.5 million native speakers mainly in Angola and Namibia. It is represented here in the standard orthography.",bantoid,-17.7,15.7,Southern Africa,eng;her;afr
kuvale,Kuvale,,,Kuvale is a Bantu language (R101) spoken next to the Umbundu-speaking area in Angola. It is represented here in a linguistic transcription (IPA).,bantoid,-13.9,13.4,Middle Africa,eng;por;umb;nyk
kwn,Kwangali,kwan1273,,,bantoid,-17.8,19.7,Middle Africa,eng;por;kua;umb
kwz,Kwadi†,kwad1244,,Kwadi was a language of southwest Angola related to Khoe languages and became extinct during the 20th century. It is represented here in a linguistic transcription (IPA).,khoekwadi,-15.9,12.1,Middle Africa,eng;por;umb;kuvale
laj,Lango,lang1324,,"Lango (Lwo, Leb-Lango) is a Western Nilotic language (Southern Luo branch) and spoken by about 1.5 million speakers in northern Uganda.",nilotic,2.14,33.06,Eastern Africa,eng;lug;swh;luo
laj,Lango (Uganda),lang1324,,"Lango (Uganda) (Lwo, Lwoo, or Leb-Lango) is a Western Nilotic language spoken in Uganda by 1.5 million native speakers (2002). Okonye 2012 (cf. p. v-viii), + and - ATR vowels are not distinguished, long vowels in final syllables are doubled; ny and ng = palatal and velar nasal [ɲ] and [ŋ]; tones are not marked.",,2.14,33.06,,
lam,Lamba,lamb1271,,,bantoid,-12.8,27.9,Eastern Africa,eng;toi;swh
lch,Luchazi,luch1239,,,bantoid,-13.7,20.4,Middle Africa,eng;por;swh
lea,Lega-Shabunda,lega1249,,"Lega is a Bantu dialect cluster (D25) with two major varieties, Lega-Shabunda and Lega-Mwenga, spoken in the eastern part of DR Congo by about 500 000 speakers.",bantoid,-3.8,27.1,Middle Africa,eng;fra;lin;swh;run
lin,Lingala,ling1263,,Lingala is a Bantu language (C30B).,bantoid,-1.3,17.2,Middle Africa,eng;fra;kon;lua;swh
loz,Lozi,lozi1239,,,bantoid,-16.85,24.0,Eastern Africa,eng;toi;sot;swh
lua,Luba-Kasai,luba1249,,,bantoid,-5.9,22.3,Middle Africa,eng;fra
lub,Luba-Katanga,luba1250,,,bantoid,-8.0,25.0,Middle Africa,eng;fra;lua
lue,Lwena,luva1239,,,bantoid,-12.5,21.7,Middle Africa,eng;por
lug,Ganda,gand1255,,,bantoid,0.3,31.9,Eastern Africa,eng;swh
lun,Lunda,lund1266,,,bantoid,-10.6,22.7,Middle Africa,eng;fra;por;lua
luo,Luo,luok1236,,Luo (Dholuo) is a Western Nilotic languages spoken by about 6 million speakers in western Kenya.,nilotic,-0.2,34.9,Eastern Africa,eng;swh
luo,Luo (Kenya and Tanzania),luok1236,,Luo (Kenya and Tanzania) (Dholuo) is a Western Nilotic language spoken in Kenya and Tanzania by 4.2 million native speakers (2009).,,-0.93,34.49,,
lwn-a,Lower Nossob/ǀ'Auni†,lowe1407,,"Lower Nossob, including ǀ'Auni (ǀAuni) and ǀHaasi (Kiǀhazi), was a language cluster belonging to the Tuu family spoken in current South Africa, Namibia and Botswana, i.e., in the area of the Kgalagadi Transfrontier National Park. It became extinct during the 20th century. It is represented in a linguistic transcription based on Story & Traill (1999) [traillstory1999] and Dorothea Bleek.",tuu,-25.8,20.3,Southern Africa,eng;afr;naq;nmn-e
lwn-h,Lower Nossob/ǀHaasi†,lowe1407,,"Lower Nossob, including ǀ'Auni (ǀAuni) and ǀHaasi (Kiǀhazi), was a language cluster belonging to the Tuu family and spoken in current South Africa, Namibia and Botswana, i.e., in the area of the Kgalagadi Transfrontier National Park. It became extinct during the 20th century. It is represented in a linguistic transcription based on Story & Traill (1999) and Dorothea Bleek.",tuu,-25.3,19.5,Southern Africa,eng;afr;naq;nmn-e
mas,Maasai,masa1300,,"Maasai (Masai) is an Eastern Nilotic language spoken by about 1.3 million speakers in Kenya and Tanzania.The forms are taken from Vossen (1988) in a linguistic transcription (IPA). Where Vossen lists several phonological variants, the variant of northwestern dialects (Siria, Purko) was chosen. ",nilotic,-2,36.4,Eastern Africa,eng;swh;luo
mcp,Makaa,maka1304,,Makaa is a Bantu language (A83) spoken by about 100 000 speakers in central Cameroon.,bantoid,4.2,13.1,Middle Africa,eng;fra;ewo
mdj,Mangbetu,mang1394,,Mangbetu is a Mangbetu-Asua spoken by probably more than 700 000 speakers in the northeast of DR Congo.,mangbetuasua,2.55,27.07,Middle Africa,eng;fra;niy;zne
mer,Meru,meru1245,,"Meru (Mero, Kimîîru) is a Bantu language (E53) spoken by about 2 million speakers in central Kenya.",bantoid,0.26,37.74,Eastern Africa,eng;swh;kik
mfc,Mba,mbaa1245,,Mba is a Mbaic language spoken by about 40 000 speakers in the central-northern part of DR Congo.,mbaic,1.07,25.14,Middle Africa,eng;fra;lin;swh
mgd,Moru,moru1253,,Moru (Kala Moru) is a Moru-Madi language spoken by about 70 000 speakers in South Sudan.,morumadi,5.12,30.33,Eastern Africa,eng
mgw,Matumbi,matu1259,,,bantoid,-8.4,38.9,Eastern Africa,eng;swh
mhw,Mbukushu,mbuk1240,,,bantoid,-18.5,22.0,Southern Africa,eng;tsn;kua
mye-or,Myene/Orungu,orun1242,,Myene is a cluster of closely related Bantu varieties (B11) spoken by about 50 000 speakers in western Gabon. ,bantoid,-1.49,9.50,Middle Africa,eng;fra;fan
naq,Khoekhoe,nama1264,,"(Namibian Standard) Khoekhoe (Khoekhoegowab, Nama-Damara) is a Khoe-Kwadi language standardized basically on Nama and Damara varieties and spoken by about 200 000 native speakers mainly in Namibia. It is represented here in the standard orthography (Haacke & Eiseb 2002) [haackeeiseb2002]. Grammatical gender is overtly expressed (-b 'masculine', -i 'common', -s 'feminine').",khoekwadi,-24.4,17.0,Southern Africa,eng;afr;her;kua
naq-a,Khoekhoe/ǂAakhoe,haio1238,,"ǂAakhoe is a distinct variety related to (Namibian Standard) Khoekhoe (Khoekhoegowab, Nama-Damara), a Khoe-Kwadi language spoken by about 200 000 native speakers mainly in Namibia. It is represented here in the standard orthography (Haacke & Eiseb 2002) [haackeeiseb2002].",khoekwadi,-17.6,18.3,Southern Africa,eng;afr;her;kua
naq-d,Khoekhoe/Damara,dama1270,,"(Namibian Standard) Khoekhoe (Khoekhoegowab, Nama-Damara) is a Khoe-Kwadi language standardized basically on Nama and Damara varieties and spoken by about 200 000 native speakers mainly in Namibia. It is represented here in the standard orthography (Haacke & Eiseb 2002) [haackeeiseb2002]. Grammatical gender is overtly expressed (-b 'masculine', -i 'common', -s 'feminine').",khoekwadi,-22.8,17.9,Southern Africa,eng;afr;her;kua
naq-hm,Khoekhoe/Haiǁom,haio1238,,"Haiǁom is a distinct variety related to (Namibian Standard) Khoekhoe (Khoekhoegowab, Nama-Damara), a Khoe-Kwadi language spoken by about 200 000 native speakers mainly in Namibia. It is represented here in the standard orthography (Haacke & Eiseb 2002) [haackeeiseb2002].",khoekwadi,-19.1,16.5,Southern Africa,eng;afr;her;kua
naq-n,Khoekhoe/Nama,nama1265,,"(Namibian Standard) Khoekhoe (Khoekhoegowab, Nama-Damara) is a Khoe-Kwadi language standardized basically on Nama and Damara varieties and spoken by about 200 000 native speakers mainly in Namibia. It is represented here in the standard orthography (Haacke & Eiseb 2002) [haackeeiseb2002]. Grammatical gender is overtly expressed (-b 'masculine', -i 'common', -s 'feminine').",khoekwadi,-26.0,18.0,Southern Africa,eng;afr;her;kua
nba,Ngangela,nyem1238,,,bantoid,-14.8,16.5,Middle Africa,eng;por;kua
nbl,Ndebele/Northern Transvaal,sout2808,,,bantoid,-25.3,29.1,Southern Africa,eng;zul;nso;afr
ndc,Shona/Ndau,ndau1241,,,bantoid,-20.3,33.9,Eastern Africa,eng;por;swh
nde,Ndebele of Zimbabwe,nort2795,,,bantoid,-19.4,28.3,Eastern Africa,eng;sna;zul;swh
ndo,Wambo/Ndonga,ndon1254,,,bantoid,-18.2,17.1,Southern Africa,eng;kua;umb
ngh-e,Nǁang/Langeberg,nuuu1241,,"Nǁang (Nǁng, Nǀuu, Nǀuuki, ǂKhomani) is a Tuu language spoken by probably less than 10 native speakers in South Africa. It is represented here in a linguistic transcription.",tuu,-27.9,22.7,Southern Africa,eng;afr;xam
ngh-w,Nǁang/Nǀuu,nuuu1241,,"Nǁang (Nǁng, Nǀuu, Nǀuuki, ǂKhomani) is a Tuu language spoken by probably less than 10 native speakers in South Africa. It is represented here in a linguistic transcription.",tuu,-27.1,20.5,Southern Africa,eng;afr;xam
nhr,Naro,naro1249,sl,Naro (Nharo) is a Khoe-Kwadi  language spoken by about 10 000 native speakers in Botswana and Namibia. It is represented here in the orthography as used in Visser (2001) [visser2001].,khoekwadi,-22.3,21.0,Southern Africa,eng;tsn;afr;ktz
nih,Nyiha,nyih1240,,,bantoid,-8.9,33.0,Eastern Africa,eng;swh
niy,Ngiti,ngit1239,,Ngiti is a Lendu(ic) language spoken by about 100 000 speakers in the northeastern part of DR Congo.,lendu,1.3,30.22,Middle Africa,eng;fra;swh;lug
nmn-a,Taa/ǃAma,xooo1239,nc,"Taa (ǃXoon, ǃXóõ) is a Tuu  language spoken by about 3000 native speakers mainly in Botswana and Namibia. It is represented here in the practical orthography proposed by Güldemann & Naumann (2011) [guldemannnaumann2011], except for East !Xoon represented according to Traill 1994 [traill1994]. Grammatical abbreviations: 1 'agreement class 1' (concordial vowel i, tone class ii), 2 'agreement class 2' (concordial vowel ã~a, tone classes i or ii), 3 'agreement class 3' (concordial vowel e, tone classes i or ii), 4 'agreement class 4' (concordial vowel u, tone class ii), 5 'agreement class 5' (concordial sonorant n~ŋ, tone class ii). The classes are paired singular/plural.",tuu,-23.3,20.4,Southern Africa,eng;tsn;afr;naq
nmn-e,Taa/East ǃXoon,xooo1239,hk,"Taa (ǃXoon, ǃXóõ) is a Tuu  language spoken by about 3000 native speakers mainly in Botswana and Namibia. It is represented here in the practical orthography proposed by Güldemann & Naumann (2011) [guldemannnaumann2011], except for East !Xoon represented according to Traill 1994 [traill1994]. Grammatical abbreviations: 1 'agreement class 1' (concordial vowel i, tone class ii), 2 'agreement class 2' (concordial vowel ã~a, tone classes i or ii), 3 'agreement class 3' (concordial vowel e, tone classes i or ii), 4 'agreement class 4' (concordial vowel u, tone class ii), 5 'agreement class 5' (concordial sonorant n~ŋ, tone class ii). The classes are paired singular/plural.",tuu,-22.8,21.9,Southern Africa,eng;tsn;afr;naq
nmn-h,Taa/ǂHuan,xooo1239,nc,"Taa (ǃXoon, ǃXóõ) is a Tuu  language spoken by about 3000 native speakers mainly in Botswana and Namibia. It is represented here in the practical orthography proposed by Güldemann & Naumann (2011) [guldemannnaumann2011], except for East !Xoon represented according to Traill 1994 [traill1994]. Grammatical abbreviations: 1 'agreement class 1' (concordial vowel i, tone class ii), 2 'agreement class 2' (concordial vowel ã~a, tone classes i or ii), 3 'agreement class 3' (concordial vowel e, tone classes i or ii), 4 'agreement class 4' (concordial vowel u, tone class ii), 5 'agreement class 5' (concordial sonorant n~ŋ, tone class ii). The classes are paired singular/plural.",tuu,-24.6,22.7,Southern Africa,eng;tsn;afr;naq
nmn-t,Taa/Tshaasi,xooo1239,nc,"Taa (ǃXoon, ǃXóõ) is a Tuu  language spoken by about 3000 native speakers mainly in Botswana and Namibia. It is represented here in the practical orthography proposed by Güldemann & Naumann (2011) [guldemannnaumann2011], except for East !Xoon represented according to Traill 1994 [traill1994]. Grammatical abbreviations: 1 'agreement class 1' (concordial vowel i, tone class ii), 2 'agreement class 2' (concordial vowel ã~a, tone classes i or ii), 3 'agreement class 3' (concordial vowel e, tone classes i or ii), 4 'agreement class 4' (concordial vowel u, tone class ii), 5 'agreement class 5' (concordial sonorant n~ŋ, tone class ii). The classes are paired singular/plural.",tuu,-23.8,22.7,Southern Africa,eng;tsn;afr;naq
nmn-w,Taa/West ǃXoon,xooo1239,nc,"Taa (ǃXoon, ǃXóõ) is a Tuu  language spoken by about 3000 native speakers mainly in Botswana and Namibia. It is represented here in the practical orthography proposed by Güldemann & Naumann (2011) [guldemannnaumann2011], except for East !Xoon represented according to Traill 1994 [traill1994]. Grammatical abbreviations: 1 'agreement class 1' (concordial vowel i, tone class ii), 2 'agreement class 2' (concordial vowel ã~a, tone classes i or ii), 3 'agreement class 3' (concordial vowel e, tone classes i or ii), 4 'agreement class 4' (concordial vowel u, tone class ii), 5 'agreement class 5' (concordial sonorant n~ŋ, tone class ii). The classes are paired singular/plural.",tuu,-23.8,19.4,Southern Africa,eng;tsn;afr;naq
nse,Nsenga,nsen1242,,,bantoid,-14.9,31.1,Eastern Africa,eng;por;nya;sna;swh
nso,Northern Sotho,pedi1238,,"Northern Sotho (Sesotho sa Leboa, Sepedi) is a Bantu  language spoken by about 4 million native speakers mainly in South Africa. It is represented here in the standard orthography.",bantoid,-23.9,29.6,Southern Africa,eng;tsn;zul;afr
nya,Chewa-Nyanja,nyan1308,,,bantoid,-13.8,33.8,Eastern Africa,eng;yao;swh
nyf,Mijikenda/Giryama,giry1241,,Giryama belongs to the (North) Mijikenda dialect cluster (Bantu E72). Mijikenda is spoken by about 2 million speakers in coastal Kenya and northeastern Tanzania.,bantoid,-3.31,39.66,Eastern Africa,eng;swh;kam;kik
nyk,Nyaneka,nyan1305,,,bantoid,-15.4,14.5,Middle Africa,eng;por;umb;kua
nyn,Nyankore,nyan1307,,"Nyankore (Nkore, Runyankore, Nyankole) is a Bantu language (JE13) spoken by about 2.3 million speakers in southwestern Uganda.",bantoid,-0.5,30.6,Eastern Africa,eng;lug;swh;kin
nyy,Nyakyusa-Ngonde,nyak1260,,Nyakyusa-Ngonde (Nyakyusa) is a Bantu language (M31) spoken by more than 1 million speakers in southwestern Tanzania and northern Malawi.,bantoid,-9.4,33.8,Eastern Africa,eng;swh;tum;bem
pbr,Pangwa,pang1287,,,bantoid,-9.8,34.7,Eastern Africa,eng;swh
protoagaw,Proto-Agaw*,cent2193,,The reconstructed forms of Proto-Agaw (Proto-Central Cushitic) are taken from Appleyard (2006). It is represented in a linguistic transcription (IPA).,cushitic,11.7,37.5,Eastern Africa,eng
protohighlandeastcushitic,Proto-Highland East Cushitic*,high1285,,The reconstructed forms of Proto-Highland East Cushitic are taken from Hudson (1989).,cushitic,7.5,38.4,Eastern Africa,eng
protokalaharikhoe,Proto-Kalahari Khoe*,nonk1236,,"Proto-Khoe and a few daughter proto-languages have been reconstructed by Voßen (1997). Proto-Kalahari Khoe (Proto-Non-Khoekhoe, PNK) is represented here in a linguistic transcription (IPA).",khoekwadi,-22.1,24.1,Southern Africa,eng
protosemitic,Proto-Semitic*,semi1276,,The reconstructed forms of Proto-Semitic are taken from Kogan (2011).,semitic,30.8,39.54,Western Asia,eng
protosouthcushitic,Proto-South Cushitic*,sout3054,,The reconstructed forms of Proto-South Cushitic are taken from Ehret (1980).,cushitic,-2.7,37.3,Eastern Africa,eng
protowestriftsoutherncushitic,Proto-West Rift Southern Cushitic,west2720,nc,The reconstructed forms of Proto-West Rift South(ern) Cushitic are taken from Kießling & Mous (2003) in a linguistic transcription (IPA).,cushitic,-3.4,35.8,Eastern Africa,eng
puu,Punu,punu1239,,Punu is a Bantu language (B43) spoken by about 160 000 speakers in southern Gabon and the Republic of Congo.,bantoid,-2.67,11.67,Middle Africa,eng;fra;kon;fan
rng,Rhonga,rong1268,,,bantoid,-26.1,32.6,Eastern Africa,eng;por;tso;zul;swh
run,Rundi,rund1242,,"Rundi (Kirundi) is a Bantu language (JD62) spoken by about 9 million speakers mainly in Burundi, where it is recognized as official language.",bantoid,-3.4,29.9,Eastern Africa,eng;fra;swh
sad,Sandawe,sand1273,,,isolated,-5.2,35.4,Eastern Africa,eng;swh
sbs,Ikuhane,subi1246,,,bantoid,-17.5,25.0,Southern Africa,eng;tsn;toi
seh,Sena,nucl1396,,,bantoid,-18.0,35.0,Eastern Africa,eng;por;sna;swh
